,car_name,brand,year,mileage,location,transmission,plate_type,rear_camera,sun_roof,auto_retract_mirror,electric_parking_brake,map_navigator,vehicle_stability_control,keyless_push_start,sports_mode,camera_view,power_sliding_door,auto_cruise_control,price,instalment
67,BRIO SATYA E 1.2,Honda,2018,36.0,Jakarta Barat,Automatic,odd plate,0,0,0,0,0,0,0,1,0,0,0,139000000,2830000
68,BRIO RS 1.2,Honda,2020,46.0,Bogor,Automatic,odd plate,0,0,1,0,0,0,0,1,0,0,0,180000000,3670000
69,FORTUNER VRZ 2.4,Toyota,2016,95.0,Jakarta Selatan,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,365000000,7440000
70,CX-5 ELITE 2.5,Mazda,2019,45.0,Tangerang Selatan,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,426000000,8680000
71,GRAND LIVINA XV 1.5,Nissan,2018,98.0,Jakarta Utara,Automatic,odd plate,1,0,0,0,0,0,0,0,0,0,0,148000000,3020000
72,ERTIGA GL 1.5,Suzuki,2019,50.0,Tangerang Selatan,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,163000000,3320000
73,AGYA G 1.0,Toyota,2017,78.0,Bogor,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,99000000,2020000
74,AGYA G TRD 1.2,Toyota,2019,56.0,Jakarta Utara,Automatic,even plate,0,0,0,0,0,0,0,0,0,0,0,128000000,2610000
75,IGNIS GX 1.2,Suzuki,2021,27.0,Bekasi,Manual,odd plate,0,0,1,0,0,0,1,0,0,0,0,148000000,3020000
76,HR-V S 1.5,Honda,2019,61.0,Jakarta Timur,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,231000000,4710000
77,CORTEZ C T LUX 1.5,Wuling,2019,56.0,Surabaya,Automatic,odd plate,0,0,1,0,0,1,0,0,0,0,0,168000000,3420000
78,ALMAZ RS LT LUX + SC CVT 1.5,Wuling,2021,38.0,Tangerang Selatan,Automatic,odd plate,0,1,0,0,0,0,0,0,1,0,0,273000000,5560000
79,CONFERO S 1.5,Wuling,2019,33.0,Jakarta Barat,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,104000000,2120000
80,AYLA X 1.0,Daihatsu,2019,74.0,Bekasi,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,100000000,2040000
81,ALMAZ L TURBO 1.5,Wuling,2019,43.0,Bekasi,Automatic,odd plate,0,0,1,0,0,0,0,0,1,0,0,204000000,4160000
82,AYLA R 1.2,Daihatsu,2019,25.0,Bogor,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,117000000,2380000
83,KIJANG INNOVA REBORN VENTURER GASOLINE 2.0,Toyota,2017,90.0,Jakarta Utara,Automatic,even plate,0,0,1,0,0,0,0,1,0,0,0,316000000,6440000
84,AGYA G 1.0,Toyota,2014,95.0,Bandung,Manual,even plate,1,0,0,0,0,0,0,0,0,0,0,87000000,1770000
85,BALENO HATCHBACK 1.4,Suzuki,2019,72.0,Jakarta Timur,Automatic,odd plate,0,0,1,0,0,0,1,0,0,0,0,176000000,3590000
86,BALENO HATCHBACK 1.4,Suzuki,2019,41.0,Bogor,Manual,even plate,0,0,1,0,0,0,1,0,0,0,0,160000000,3260000
87,AYLA R DLX 1.2,Daihatsu,2018,22.0,Tangerang Selatan,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,114000000,2320000
88,XPANDER ULTIMATE 1.5,Mitsubishi,2018,66.0,Bogor,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,209000000,4260000
89,XPANDER ULTIMATE 1.5,Mitsubishi,2018,58.0,Jakarta Barat,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,210000000,4280000
90,AYLA X 1.0,Daihatsu,2018,28.0,Jakarta Utara,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,100000000,2040000
91,AYLA R 1.2,Daihatsu,2020,55.0,Tangerang Selatan,Automatic,odd plate,1,0,1,0,0,0,0,0,0,0,0,136000000,2770000
92,ALMAZ LT LUX 1.5,Wuling,2019,42.0,Jakarta Barat,Automatic,even plate,0,1,1,0,0,0,0,0,0,0,0,203000000,4139999
93,TERIOS X 1.5,Daihatsu,2015,116.0,Jakarta Utara,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,148000000,3020000
94,ALMAZ LT LUX + SC CVT 1.5,Wuling,2019,64.0,Bogor,Automatic,even plate,0,1,1,0,0,0,0,0,0,0,0,214000000,4360000
95,AVANZA G 1.5,Toyota,2022,8.0,Malang,Manual,even plate,0,0,1,0,0,1,0,0,0,0,0,219000000,4460000
96,BRIO SATYA E 1.2,Honda,2019,43.0,Bekasi,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,142000000,2890000
97,CITY RS HATCHBACK 1.5,Honda,2021,19.0,Bekasi,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,261000000,5320000
98,HR-V E 1.5,Honda,2015,122.0,Bogor,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,198000000,4030000
99,AYLA X ELEGANT 1.0,Daihatsu,2017,34.0,Jakarta Utara,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,96000000,1960000
100,KIJANG INNOVA G 2.0,Toyota,2022,25.0,Jakarta Utara,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,360000000,7330000
101,AYLA R DLX 1.2,Daihatsu,2018,6.0,Bogor,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,116000000,2360000
102,AVANZA E 1.3,Toyota,2017,70.0,Surabaya,Automatic,odd plate,0,0,0,0,0,0,0,0,0,0,0,135000000,2750000
103,RUSH S TRD SPORTIVO 1.5,Toyota,2020,53.0,Tangerang Selatan,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,224000000,4560000
