car name,brand,year,mileage (km),location,transmission,plate type,rear camera,sun roof,auto retract mirror,electric parking brake,map navigator,vehicle stability control,keyless push start,sports mode,360 camera view,power sliding door,auto cruise control,price (Rp),instalment (Rp|Monthly)
AVANZA G 1.3,Toyota,2016,98.478,Jakarta Barat,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,143000000,2910000
OUTLANDER SPORT PX 2.0,Mitsubishi,2016,91.926,Bogor,Automatic,odd plate,0,1,1,0,0,0,0,0,0,0,0,195000000,3970000
HR-V SE 1.5,Honda,2018,62.209,Bekasi,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,254000000,5180000
ALMAZ S+T 1.5,Wuling,2019,76.95,Bandung,Automatic,even plate,1,0,0,1,0,0,0,0,0,0,0,199000000,4050000
IGNIS GL 1.2,Suzuki,2018,43.945,Bandung,Manual,odd plate,1,0,0,0,0,0,0,0,0,0,0,111500000,2270000
ALMAZ S+T 1.5,Wuling,2019,27.804,Bandung,Automatic,odd plate,1,0,0,0,0,0,0,1,0,0,0,203000000,4139999
AYLA R 1.2,Daihatsu,2018,85.184,Jakarta Pusat,Automatic,odd plate,0,0,0,0,0,0,0,0,0,0,0,117000000,2380000
TERIOS R 1.5,Daihatsu,2019,40.717,Bogor,Manual,even plate,0,0,1,0,0,0,1,0,0,0,0,193000000,3930000
XPANDER ULTIMATE 1.5,Mitsubishi,2019,63.13,Bogor,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,1,213000000,4340000
CR-V TURBO 1.5,Honda,2017,64.558,Jakarta Selatan,Automatic,odd plate,0,0,1,0,0,0,0,0,0,0,0,335000000,6830000
HR-V SE 1.5,Honda,2018,43.74,Tangerang Selatan,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,255000000,5200000
KIJANG INNOVA REBORN G 2.0,Toyota,2017,51.254,Jakarta Barat,Manual,even plate,0,0,0,0,0,0,0,1,0,0,0,242000000,4930000
MOBILIO RS 1.5,Honda,2016,84.06,Bogor,Automatic,even plate,1,0,0,0,0,0,0,1,0,0,0,155000000,3160000
KIJANG INNOVA V 2.0,Toyota,2014,87.616,Tangerang Selatan,Automatic,odd plate,0,0,0,0,0,0,0,0,0,0,0,193000000,3930000
AGYA G TRD 1.2,Toyota,2019,53.576,Bekasi,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,122000000,2490000
KIJANG INNOVA G 2.0,Toyota,2016,74.73,Tangerang Selatan,Automatic,odd plate,0,0,0,0,0,0,0,1,0,0,0,233000000,4750000
IGNIS GL 1.2,Suzuki,2017,79.289,Bandung,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,110000000,2240000
AGYA GR SPORT 1.2,Toyota,2022,5.751,Bogor,Manual,even plate,0,0,1,0,0,0,0,0,0,0,0,143000000,2910000
AYLA R 1.2,Daihatsu,2020,15.552,Bogor,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,123000000,2510000
MOBILIO E 1.5,Honda,2014,84.575,Tangerang Selatan,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,127000000,2590000
AYLA R 1.2,Daihatsu,2018,8.691,Bekasi,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,106000000,2160000
TERIOS X DLX 1.5,Daihatsu,2021,29.897,Depok,Automatic,odd plate,1,0,0,0,0,0,0,0,0,0,0,207000000,4220000
BRIO SATYA E 1.2,Honda,2020,15.855,Bogor,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,147000000,3000000
HR-V SE 1.5,Honda,2018,83.286,Tangerang Selatan,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,257000000,5240000
